urgency,sku,product_name,category,current_stock,avg_daily_demand,demand_std,safety_stock,reorder_point,projected_stock,days_of_stock,lead_time_days,reorder_flag,reorder_qty,reason
🟡 URGENT,DC-1165,Outdoor Survival Multi-Tool Kit,Outdoor,6,1.03,2.44,8.03,12.16,-1.23,5.8,4,1,25.0,"Reorder soon — 6 days stock left, lead time=4d, ROP=12. Order 25 units this week."
🟠 REORDER,DC-1039,Car Dash Cam 1080P HD,Automotive,11,1.27,1.67,5.51,10.58,2.13,8.7,4,1,27.0,"Stock projected below ROP after 7d. Avg demand=1.3/day, order 27 units."
🟠 REORDER,DC-1094,Wireless Earbuds Noise Cancelling,General,11,0.87,3.15,8.97,11.57,4.93,12.7,3,1,15.0,"Stock projected below ROP after 7d. Avg demand=0.9/day, order 15 units."
🟠 REORDER,DC-1117,Portable SSD 500GB USB-C,Electronics,16,1.23,1.83,5.23,8.93,7.37,13.0,3,1,21.0,"Stock projected below ROP after 7d. Avg demand=1.2/day, order 21 units."
🟠 REORDER,DC-1115,Smart Watch Fitness Tracker HR,Electronics,7,0.4,2.83,8.06,9.26,4.2,17.5,3,1,5.0,"Stock projected below ROP after 7d. Avg demand=0.4/day, order 5 units."
🟠 REORDER,DC-1056,Silicone Baking Mat Non-Stick Set,Kitchen & Home,16,0.77,2.4,7.9,10.97,10.63,20.9,4,1,7.0,"Stock projected below ROP after 7d. Avg demand=0.8/day, order 7 units."
🟠 REORDER,DC-1120,Digital Drawing Tablet 10inch,Electronics,15,0.5,4.27,12.17,13.67,11.5,30.0,3,1,0.0,"Stock projected below ROP after 7d. Avg demand=0.5/day, order 0 units."
✅ OK,DC-1189,Wire Stripper Crimping Tool Set,Tools,23,1.27,2.94,8.39,12.19,14.13,18.2,3,0,0.0,"Stock sufficient. 18 days supply remaining. ROP=12, projected=14."
✅ OK,DC-1038,Memory Foam Car Neck Pillow,Automotive,7,0.33,0.0,0.0,1.0,4.67,21.0,3,0,0.0,"Stock sufficient. 21 days supply remaining. ROP=1, projected=5."
✅ OK,DC-1199,Magnetic Wristband Tool Holder,Tools,23,1.07,4.08,11.63,14.83,15.53,21.6,3,0,0.0,"Stock sufficient. 22 days supply remaining. ROP=15, projected=16."
✅ OK,DC-1061,Automatic Electric Wine Aerator Pourer,Kitchen & Home,13,0.57,0.71,2.6,5.44,9.03,22.9,5,0,0.0,"Stock sufficient. 23 days supply remaining. ROP=5, projected=9."
✅ OK,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,19,0.73,0.58,1.9,4.83,13.87,25.9,4,0,0.0,"Stock sufficient. 26 days supply remaining. ROP=5, projected=14."
✅ OK,DC-1023,Omega-3 Fish Oil Softgels,Health & Supplements,32,1.2,3.63,13.36,19.36,23.6,26.7,5,0,0.0,"Stock sufficient. 27 days supply remaining. ROP=19, projected=24."
✅ OK,DC-1146,IPL Hair Removal Device Permanent,Beauty_Health,42,1.3,2.07,7.63,14.13,32.9,32.3,5,0,0.0,"Stock sufficient. 32 days supply remaining. ROP=14, projected=33."
✅ OK,DC-1072,Automatic Electric Wine Aerator Pourer,Kitchen & Home,18,0.53,2.31,6.58,8.18,14.27,33.8,3,0,0.0,"Stock sufficient. 34 days supply remaining. ROP=8, projected=14."
✅ OK,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,37,1.03,3.63,13.36,18.52,29.77,35.8,5,0,0.0,"Stock sufficient. 36 days supply remaining. ROP=19, projected=30."
✅ OK,DC-1111,Portable SSD 500GB USB-C,Electronics,18,0.5,3.77,10.76,12.26,14.5,36.0,3,0,0.0,"Stock sufficient. 36 days supply remaining. ROP=12, projected=14."
✅ OK,DC-1055,Silicone Baking Mat Non-Stick Set,Kitchen & Home,32,0.83,1.5,6.04,11.04,26.17,38.4,6,0,0.0,"Stock sufficient. 38 days supply remaining. ROP=11, projected=26."
✅ OK,DC-1097,Smart LED Bulb Dimmable WiFi,General,34,0.87,2.16,9.4,15.47,27.93,39.2,7,0,0.0,"Stock sufficient. 39 days supply remaining. ROP=15, projected=28."
✅ OK,DC-1077,Wireless Earbuds Noise Cancelling,General,18,0.43,2.52,8.28,10.01,14.97,41.6,4,0,0.0,"Stock sufficient. 42 days supply remaining. ROP=10, projected=15."
✅ OK,DC-1025,Car Dash Cam 1080P HD,Automotive,58,1.37,3.31,10.9,16.37,48.43,42.4,4,0,0.0,"Stock sufficient. 42 days supply remaining. ROP=16, projected=48."
✅ OK,DC-1067,Bamboo Cutting Board Set 3pcs,Kitchen & Home,68,1.6,3.39,9.65,14.45,56.8,42.5,3,0,0.0,"Stock sufficient. 42 days supply remaining. ROP=14, projected=57."
✅ OK,DC-1139,Nano Ionic Hair Straightener Flat Iron,Beauty_Health,31,0.7,1.0,4.35,9.25,26.1,44.3,7,0,0.0,"Stock sufficient. 44 days supply remaining. ROP=9, projected=26."
✅ OK,DC-1137,IPL Hair Removal Device Permanent,Beauty_Health,43,0.93,0.0,0.0,4.66,36.47,46.1,5,0,0.0,"Stock sufficient. 46 days supply remaining. ROP=5, projected=36."
✅ OK,DC-1187,Mini Soldering Iron Kit 60W Adjustable,Tools,33,0.67,3.27,13.16,17.16,28.33,49.5,6,0,0.0,"Stock sufficient. 50 days supply remaining. ROP=17, projected=28."
✅ OK,DC-1126,Blackhead Remover Vacuum Pore Cleanser,Beauty_Health,70,1.37,2.04,5.8,9.9,60.43,51.2,3,0,0.0,"Stock sufficient. 51 days supply remaining. ROP=10, projected=60."
✅ OK,DC-1172,Camping Hammock Nylon Lightweight,Outdoor,7,0.13,0.0,0.0,0.53,6.07,52.6,4,0,0.0,"Stock sufficient. 53 days supply remaining. ROP=1, projected=6."
✅ OK,DC-1154,Outdoor Survival Multi-Tool Kit,Outdoor,18,0.33,4.24,13.96,15.29,15.67,54.1,4,0,0.0,"Stock sufficient. 54 days supply remaining. ROP=15, projected=16."
✅ OK,DC-1010,Zinc Picolinate 50mg Tablets,Health & Supplements,58,1.07,2.79,9.19,13.46,50.53,54.4,4,0,0.0,"Stock sufficient. 54 days supply remaining. ROP=13, projected=51."
✅ OK,DC-1064,Silicone Baking Mat Non-Stick Set,Kitchen & Home,63,1.13,1.64,4.68,8.08,55.07,55.6,3,0,0.0,"Stock sufficient. 56 days supply remaining. ROP=8, projected=55."
✅ OK,DC-1124,USB-C Hub 7-in-1 Multiport Adapter,Electronics,53,0.9,2.88,10.6,15.1,46.7,58.9,5,0,0.0,"Stock sufficient. 59 days supply remaining. ROP=15, projected=47."
✅ OK,DC-1016,Collagen Peptides Powder 500g,Health & Supplements,58,0.97,3.67,15.98,22.75,51.23,60.0,7,0,0.0,"Stock sufficient. 60 days supply remaining. ROP=23, projected=51."
✅ OK,DC-1026,Car Dash Cam 1080P HD,Automotive,26,0.43,0.71,2.85,5.45,22.97,60.0,6,0,0.0,"Stock sufficient. 60 days supply remaining. ROP=5, projected=23."
✅ OK,DC-1030,Car Phone Mount Magnetic,Automotive,14,0.23,0.71,2.01,2.71,12.37,60.1,3,0,0.0,"Stock sufficient. 60 days supply remaining. ROP=3, projected=12."
✅ OK,DC-1041,Car Phone Mount Magnetic,Automotive,75,1.23,3.76,16.38,25.01,66.37,60.8,7,0,0.0,"Stock sufficient. 61 days supply remaining. ROP=25, projected=66."
✅ OK,DC-1122,USB-C Hub 7-in-1 Multiport Adapter,Electronics,50,0.8,2.0,8.7,14.3,44.4,62.5,7,0,0.0,"Stock sufficient. 62 days supply remaining. ROP=14, projected=44."
✅ OK,DC-1151,Portable Water Filter Straw,Outdoor,83,1.27,3.21,9.14,12.94,74.13,65.5,3,0,0.0,"Stock sufficient. 66 days supply remaining. ROP=13, projected=74."
